Roflcopterx,23,91521,20,"91,170",23,"93,918",21,"92,195",21,"97,288",21,96022,25,88616,22,97210,20,95697
BamBam,18,"93,194",16,"96,335",18,91144,21,"67,106",21,"84,031",21,"86,013",20,"84,016",22,"89,321",20,89041
PopDaCorn,23,96943,20,97465,23,92121,21,96445,21,97390,21,97166,25,92248,22,97901,20,95972
Emily,15,91451,16,"90,866",14,87180,12,92811,10,"90,156",9,92220,12,96439,14,92879,15,89803
Zeyklus,D21,85919,F19,85250,F24,60977,F20,87178,F20,85207,F22,80112,F17,95456,F23,85327,F22,85272
Andrew,15,92304,16,90926,14,90079,16,93646,16,88703,16,86747,16,92972,14,94422,15,91434
Chapekaloco,23,94605,20,96381,23,95914,21,95621,21,"93,970",21,93482,25,93550,22,95112,20,95700
RelaxedFit,15,"93,602",16,91868,14,97596,16,95239,16,"93,889",16,94048,16,87450,14,"90,491",20,90143
Eric,11,"62,864",8,"62,997",14,"5,585",12,"55,236",10,57631,9,68868,12,61686,14,"16,998",15,"11,865"
Alpine_fox,18,70142,20,"45,864",18,"77,371",16,"89,900",16,"90,727",18,85201,16,"84,721",18,"93,623",15,"90,646"
Error,23,"85,666",20,"88,826",23,7829,21,"76,073",21,"88,525",21,"81,667",25,"63,093",22,"91,709",20,"91,811"
Shayla,11,"74,858",8,64566,11,71189,12,72804,10,"74,045",9,84646,12,67273,11,76071,8,"74,700"
Tommy,11,67817,8,77894,11,67112,8,81033,10,20826,9,82177,12,64807,11,86979,8,77983
Kedar,11,74697,8,75264,11,78976,8,77024,10,66200,9,77207,12,67943,11,74498,8,73481
James,23,63979,20,90604,23,12359,21,86594,21,79547,21,54471,20,85801,22,92727,20,89580
Lime,15,87020,16,82372,18,63820,16,85308,16,81285,18,73906,16,76787,14,79839,20,64235
Jacqueline,23,91084,20,94564,23,89267,21,96755,21,93240,21,91572,20,94697,22,94723,20,95019
